,Variable,Scenario,Percentile,2040,2070,2100
42,Capacity|Oil,HD_D1_20_10,50,0.4738041446369948,2.844550481436386,5.2049314448860535
43,Capacity|Oil,HD_D1_20_10,5,-2.46064040191388,1.4214655936465055,3.5621558250722742
44,Capacity|Oil,HD_D1_20_10,95,0.5742223619729034,3.4155820156135506,7.462308892044949
45,Capacity|Electricity|Hydro,HD_D1_20_10,50,-4.1872286718997875,-6.954401118498346,-7.767419070140426
46,Capacity|Electricity|Hydro,HD_D1_20_10,5,-4.836282608428697,-7.21368058493978,-8.002361760184485
47,Capacity|Electricity|Hydro,HD_D1_20_10,95,-3.827991677454198,-6.765260257197594,-7.626360354588294
48,Capacity|Electricity|Nuclear,HD_D1_20_10,50,-4.510685965388332,-3.4000702373849365,-3.092127108761774
49,Capacity|Electricity|Nuclear,HD_D1_20_10,5,-16.204716662990844,-5.7551533150197685,-4.231938646554599
50,Capacity|Electricity|Nuclear,HD_D1_20_10,95,-4.3246030815538195,-3.240927812453592,-2.9527860594745343
51,Capacity|Geothermal,HD_D1_20_10,50,,,
52,Capacity|Geothermal,HD_D1_20_10,5,,,
53,Capacity|Geothermal,HD_D1_20_10,95,,,
54,Capacity|Electricity|Solar,HD_D1_20_10_Limit,50,-19.402719626366945,-4.263958377388365,-25.627243712306637
55,Capacity|Electricity|Solar,HD_D1_20_10_Limit,5,-24.420819500865868,-49.870489349730974,-63.459927939708166
56,Capacity|Electricity|Solar,HD_D1_20_10_Limit,95,6.771317182177121,51.77118584204666,28.012710294991827
57,Capacity|Electricity|Wind,HD_D1_20_10_Limit,50,17.234550542403838,60.93830188444475,31.174674306050388
58,Capacity|Electricity|Wind,HD_D1_20_10_Limit,5,10.40678270156936,-9.367943844003465,-45.51324423240933
59,Capacity|Electricity|Wind,HD_D1_20_10_Limit,95,52.72801273856098,92.17823466077427,57.79616912526228
60,Capacity|Biomass,HD_D1_20_10_Limit,50,15.936695102277335,37.838131703495115,17.55818468799467
61,Capacity|Biomass,HD_D1_20_10_Limit,5,10.798899651494674,27.030530073429095,10.485510101370055
62,Capacity|Biomass,HD_D1_20_10_Limit,95,24.37845566235042,49.751062504857686,24.74569423037517
63,Capacity|Coal,HD_D1_20_10_Limit,50,0.13827304886830066,0.17026477534435447,0.3574448602112948
64,Capacity|Coal,HD_D1_20_10_Limit,5,0.03213601664126117,0.03742860417842042,0.04275874484791929
65,Capacity|Coal,HD_D1_20_10_Limit,95,2.1575950118460416,4.427305407463536,4.755943324760933
